condition_label,max,mean,median,metric,min,n,std
,0.011295442874991447,0.004910133726641349,0.004051647825352416,gp_mnd,0.0023480203227052546,11,0.0028110957120976218
,0.03765852579432558,0.013854887435113365,0.009033219645455386,gp_hausdorff,0.005953540896330561,11,0.011845183898124912
,0.08417031046825459,0.07330479402713153,0.08082366841432814,gp_frechet,0.006201733602457232,11,0.02269138432080612
,0.028572337111861894,0.02130933648945428,0.022254165002568962,gp_dtw,0.0020094376561270873,11,0.006715446410888678
"Haply device, increasing learned guidance",0.0032449387974844593,0.00287061870525889,0.0029797127079894768,gp_mnd,0.0022965117717439437,7,0.0003282912756404637
"Haply device, increasing learned guidance",0.009606080225867642,0.007304814927954585,0.006987223725970914,gp_hausdorff,0.005907161564425484,7,0.0014111690421654824
"Haply device, increasing learned guidance",0.009606080225867642,0.007308472787189214,0.006993659956033794,gp_frechet,0.005913714962191063,7,0.0014089416740347776
"Haply device, increasing learned guidance",0.001955849294449018,0.0017788098152811288,0.0017778420095461254,gp_dtw,0.0014796275146356096,7,0.00015740462998226727
"Mouse only, no haptics",0.0015082662126537868,0.0013688278182106641,0.0013688278182106641,gp_mnd,0.0012293894237675415,2,0.0001971956685369933
"Mouse only, no haptics",0.005464001220648111,0.004424846606443284,0.004424846606443284,gp_hausdorff,0.0033856919922384565,2,0.0014695865488110484
"Mouse only, no haptics",0.0054721712940843,0.004435618246998552,0.004435618246998552,gp_frechet,0.003399065199912805,2,0.0014659073773078215
"Mouse only, no haptics",0.0010401742418782798,0.0009035367660049246,0.0009035367660049246,gp_dtw,0.0007668992901315692,2,0.00019323457150852564
"Mouse only, no haptics",38.6246771812439,23.370452165603638,23.370452165603638,completion_time_s,8.116227149963379,2,21.57273190060939
"Mouse only, no haptics",0.0,0.0,0.0,wall_hit_events_total,0.0,2,0.0
"Mouse only, no haptics",1.0,1.0,1.0,demo_success_rate,1.0,2,0.0
"Mouse only, no haptics",1.0,1.0,1.0,success,1.0,2,0.0
"Mouse only, no haptics",50.0,42.66666666666667,42.66666666666667,tlx_overall,35.333333333333336,2,10.370899457402695
